Brian Gay,1.719,270.2
Marc Leishman,1.723,288.3
Rob Oppenheim,1.746,272.2
Scott Stallings,1.798,287.3
Chad Campbell,1.788,281.5
Ian Poulter,1.835,276.2
Cameron Percy,1.832,274.6
Emiliano Grillo,1.779,286.2
Smylie Kaufman,1.725,295.0
Paul Casey,1.786,285.4
Rickie Fowler,1.753,293.7
Jason Dufner,1.756,282.7
Ryo Ishikawa,1.723,297.4
Charles Howell III,1.739,294.6
Vaughn Taylor,1.715,272.9
Jon Curran,1.738,267.1
Matt Every,1.772,281.0
Russell Knox,1.786,281.5
Steven Bowditch,1.750,288.5
Martin Piller,1.780,283.7
Ben Crane,1.711,275.0
David Lingmerth,1.729,284.1
Bryce Molder,1.758,276.9
Jim Herman,1.781,284.0
D.H. Lee,1.762,276.4
Chesson Hadley,1.812,288.3
Robert Streb,1.808,285.4
Matt Kuchar,1.725,281.2
Mark Wilson,1.807,269.9
Adam Hadwin,1.708,283.5
Peter Malnati,1.735,277.3
Billy Horschel,1.778,287.2
Bud Cauley,1.762,282.6
Jhonattan Vegas,1.791,288.1
Rory Sabbatini,1.735,287.6
D.A. Points,1.732,270.1
Wes Roach,1.783,284.5
Hiroshi Iwata,1.751,282.5
Jonas Blixt,1.755,279.9
Mark Hubbard,1.761,278.9
Tyrone Van Aswegen,1.767,280.7
Hideki Matsuyama,1.717,289.1
Andres Gonzales,1.793,284.2
Michael Kim,1.752,280.1
Scott Brown,1.785,283.6
Cameron Beckman,1.901,264.5
Patrick Rodgers,1.791,295.6
Danny Lee,1.741,283.2
Stewart Cink,1.800,283.5
Kyle Reifers,1.746,280.9
David Toms,1.791,265.2
William McGirt,1.727,277.5
Charley Hoffman,1.769,296.5
Will Wilcox,1.770,286.8
Colt Knost,1.765,271.7
Webb Simpson,1.746,288.9
Brett Stegmaier,1.782,286.0
Lucas Glover,1.763,283.8
J.B. Holmes,1.761,306.0
Patton Kizzire,1.728,283.5
Brian Stuard,1.790,266.2
Rory McIlroy,1.773,297.2
Camilo Villegas,1.772,283.4
Graeme McDowell,1.737,275.8
Erik Compton,1.775,281.3
Bill Haas,1.782,280.0
Jonathan Byrd,1.763,275.1
Ollie Schniederjans,1.802,295.5
Tyler Aldridge,1.776,280.6
Michael Putnam,1.825,278.8
John Huh,1.741,274.1
Vijay Singh,1.773,279.9
Ken Duke,1.829,270.3
Cameron Tringale,1.730,279.4
Nick Watney,1.759,290.0
Justin Thomas,1.742,293.9
Nick Taylor,1.764,290.6
Justin Rose,1.735,289.5
Kyle Stanley,1.769,282.4
Steve Wheatcroft,1.760,281.4
Brendon de Jonge,1.784,283.1
Cameron Smith,1.745,276.6
Charlie Beljan,1.910,295.1
Stuart Appleby,1.781,276.0
Dustin Johnson,1.722,305.5
Zach Johnson,1.755,281.8
Charl Schwartzel,1.788,288.5
Billy Hurley III,1.785,263.5
Fabian Gomez,1.781,284.4
Sung Kang,1.785,277.5
Rhein Gibson,1.848,284.7
Jason Day,1.765,297.4
Andrew Loupe,1.701,296.4
Luke Donald,1.781,270.8
Alex Cejka,1.740,278.1
Lucas Lee,1.818,265.7
Justin Hicks,1.771,277.5
Sam Saunders,1.810,284.8
Tim Herron,1.825,269.1
Brandt Snedeker,1.718,289.8
Ryan Moore,1.715,281.0
Justin Leonard,1.747,270.7
Steve Stricker,1.661,268.9
Tim Clark,1.796,270.2
Hudson Swafford,1.786,292.6
Carlos Ortiz,1.736,285.9
George McNeill,1.744,277.8
Jeff Overton,1.764,281.6
John Senden,1.770,283.1
Jimmy Walker,1.751,291.6
Ben Martin,1.730,280.6
Dicky Pride,1.807,268.5
Hunter Stewart,1.782,283.3
Brice Garnett,1.757,274.2
Robert Garrigus,1.800,290.2
Aaron Baddeley,1.722,281.7
Jason Bohn,1.711,280.3
James Hahn,1.759,286.4
David Hearn,1.746,275.9
Sean O'Hair,1.732,287.3
Andrew Landry,1.819,278.2
Shawn Stefani,1.824,287.3
Graham DeLaet,1.741,288.7
Brian Davis,1.783,263.8
Chris Stroud,1.762,281.0
Roberto Castro,1.774,279.9
Russell Henley,1.762,290.2
Blake Adams,1.805,270.3
Andres Romero,1.727,278.4
Phil Mickelson,1.718,287.0
Martin Laird,1.751,290.8
Derek Fathauer,1.755,282.3
Retief Goosen,1.784,282.0
Chris Kirk,1.824,279.7
Davis Love III,1.773,283.8
Morgan Hoffmann,1.754,289.2
Will MacKenzie,1.783,279.1
K.J. Choi,1.764,271.2
Jordan Spieth,1.659,287.5
Abraham Ancer,1.807,272.5
John Merrick,1.804,276.1
Dawie van der Walt,1.775,282.2
Kevin Na,1.716,277.9
Troy Merritt,1.743,283.2
Sergio Garcia,1.746,282.4
Whee Kim,1.847,282.4
Brendan Steele,1.742,291.6
Daniel Berger,1.764,290.7
Boo Weekley,1.799,283.8
Jason Kokrak,1.793,297.1
Kevin Kisner,1.691,288.1
J.J. Henry,1.811,283.9
Darron Stiles,1.771,256.4
Kelly Kraft,1.770,280.4
Rod Pampling,1.845,273.7
Johnson Wagner,1.788,280.0
Chez Reavie,1.764,281.8
Robert Allenby,1.851,274.9
Francesco Molinari,1.751,279.2
Jerry Kelly,1.787,273.2
Gary Woodland,1.759,301.5
Si Woo Kim,1.766,287.8
Michael Thompson,1.747,284.2
Steve Marino,1.806,283.6
Scott Langley,1.820,277.0
Thomas Aiken,1.834,275.5
Alex Prugh,1.853,285.0
Ricky Barnes,1.741,279.7
Geoff Ogilvy,1.798,286.8
Brooks Koepka,1.729,298.6
Daniel Summerhays,1.728,284.2
Scott Pinckney,1.814,291.2
Ernie Els,1.801,283.3
Jarrod Lyle,1.726,274.2
Brian Harman,1.760,285.1
Kevin Streelman,1.754,283.9
Keegan Bradley,1.833,292.2
Blayne Barber,1.795,279.2
Hunter Mahan,1.759,293.3
Derek Ernst,1.842,284.4
Miguel Angel Carballo,1.774,284.3
Zac Blair,1.776,271.0
Seung-Yul Noh,1.730,288.7
D.J. Trahan,1.762,282.4
Brendon Todd,1.774,274.3
Shane Lowry,1.780,288.3
Freddie Jacobson,1.717,275.9
Ryan Palmer,1.748,298.6
Tim Wilkinson,1.773,275.6
Chad Collins,1.775,273.8
Harris English,1.778,290.8
Tom Hoge,1.780,281.6
Kevin Chappell,1.760,285.3
Pat Perez,1.772,280.2
Luke List,1.796,294.2
Greg Owen,1.820,290.1
Bronson Burgoon,1.791,285.6
Matt Jones,1.752,289.8
Shane Bertsch,1.781,275.5
Andy Sullivan,1.806,276.9
Adam Scott,1.726,289.5
Jamie Lovemark,1.774,297.0
Angel Cabrera,1.787,290.6
Scott Piercy,1.765,294.1
Nicholas Thompson,1.837,270.2
Padraig Harrington,1.779,280.4
Henrik Norlander,1.780,276.1
Harold Varner III,1.779,291.8
Tony Finau,1.784,300.9
Patrick Reed,1.743,288.1
Carl Pettersson,1.734,280.4
Branden Grace,1.701,282.6
Bo Van Pelt,1.871,278.5
Bubba Watson,1.787,307.5
Spencer Levin,1.732,277.8
Jason Gore,1.730,281.2
Anirban Lahiri,1.700,286.0
